,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,0,1,86,81,0.828,0.091,1.0,-0.548,1.526,0.418,0.377,0.252,1.477,15,2.986,0.851,0.788,1.055,2.807,18,3.313,1.218,1.165,1.307,3.12,11,1
1,0,1,2,84,114,2.692,0.091,1.0,-0.548,1.489,0.418,0.379,0.521,1.429,15,2.938,0.846,0.784,0.469,2.751,17,3.276,1.215,1.163,0.99,3.09,11,1
